# Constructed from biom file
#OTU ID	10317.000091071
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	1.0615
ANAEROFRUCAT-PWY: homolactic fermentation	0.1747
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	1.2655
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.1893
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.4795
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.4814
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.2502
ARO-PWY: chorismate biosynthesis I	1.4231
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.5252
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.0573
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.8062
CALVIN-PWY: Calvin-Benson-Bassham cycle	1.1461
CENTFERM-PWY: pyruvate fermentation to butanoate	0.0912
CITRULBIO-PWY: L-citrulline biosynthesis	0.0718
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	1.4921
COA-PWY: coenzyme A biosynthesis I	0.3252
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.3369
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.1595
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	1.3415
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.391
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.5437
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.784
FAO-PWY: fatty acid &beta;-oxidation I	0.0134
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.0508
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.0325
FUCCAT-PWY: fucose degradation	0.1268
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.189
GALACTUROCAT-PWY: D-galacturonate degradation I	0.2144
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.1419
GLUCONEO-PWY: gluconeogenesis I	0.1046
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	0.1655
GLUDEG-I-PWY: GABA shunt	0.2103
GLUTORN-PWY: L-ornithine biosynthesis	0.1572
GLYCOCAT-PWY: glycogen degradation I (bacterial)	0.0607
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.556
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	0.0181
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.0682
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	0.0283
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	0.003
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0.0626
HISDEG-PWY: L-histidine degradation I	0.2295
HISTSYN-PWY: L-histidine biosynthesis	0.4556
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0.146
HSERMETANA-PWY: L-methionine biosynthesis III	0.3735
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	1.4474
LACTOSECAT-PWY: lactose and galactose degradation I	0.01
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0.228
METSYN-PWY: L-homoserine and L-methionine biosynthesis	0.2626
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	0.0135
NAGLIPASYN-PWY: lipid IVA biosynthesis	0.0249
NONMEVIPP-PWY: methylerythritol phosphate pathway I	1.5411
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	0.9394
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.2157
P108-PWY: pyruvate fermentation to propanoate I	0.0216
P161-PWY: acetylene degradation	0.0519
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0.0712
P164-PWY: purine nucleobases degradation I (anaerobic)	0.0281
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	0.0415
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	0.2492
P42-PWY: incomplete reductive TCA cycle	0.197
P441-PWY: superpathway of N-acetylneuraminate degradation	0.0322
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	0.0503
PANTO-PWY: phosphopantothenate biosynthesis I	1.239
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	0.5474
PENTOSE-P-PWY: pentose phosphate pathway	0.2191
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	1.8029
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	0.1788
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	0.0571
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	0.2904
PPGPPMET-PWY: ppGpp biosynthesis	0.0112
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	0.5306
